country,area,population,density,age 0 to 14,age 15 to 64,age over 65
Afghanistan,645807.0,31575018.0,48.89234399751009,0.43200000000000005,0.542,0.026000000000000002
Albania,28703.0,2862427.0,99.7257081141344,0.174,0.6890000000000001,0.132
Algeria,2381741.0,43000000.0,18.054020147446764,0.293,0.645,0.062
Angola,1246700.0,29250009.0,23.461946739391994,0.46799999999999997,0.508,0.024
Antigua and Barbuda,442.0,104084.0,235.4841628959276,0.239,0.6920000000000001,0.069
Argentina,2780400.0,44938712.0,16.162678751258813,0.249,0.639,0.11199999999999999
Armenia,29743.0,2957500.0,99.4351612144034,0.2,0.688,0.11199999999999999
Australia,7692024.0,25656080.0,3.3354134100465624,0.19,0.655,0.155
Austria,83879.0,8902600.0,106.13622003123547,0.141,0.667,0.192
Azerbaijan,86600.0,10067108.0,116.24836027713626,0.233,0.7070000000000001,0.06
Bahamas,13940.0,386870.0,27.752510760401723,0.205,0.706,0.09
Bahrain,778.0,1543300.0,1983.6760925449871,0.19699999999999998,0.779,0.024
Bangladesh,143998.0,168321286.0,1168.9140543618662,0.284,0.665,0.051
Barbados,430.0,287025.0,667.5,0.191,0.66,0.15
Belarus,207600.0,9465300.0,45.59393063583815,0.16699999999999998,0.685,0.14800000000000002
Belgium,30689.0,11524454.0,375.5239336570107,0.171,0.643,0.18600000000000003
Belize,22965.0,398050.0,17.33289788809057,0.314,0.647,0.039
Benin,112622.0,11733059.0,104.18087940189305,0.42700000000000005,0.541,0.032
Bhutan,38394.0,824364.0,21.471167369901547,0.266,0.6859999999999999,0.049
Bolivia,1098581.0,11307314.0,10.292653887150788,0.316,0.617,0.067
Bosnia and Herzegovina,51209.0,3511372.0,68.56943115467985,0.141,0.693,0.166
Botswana,581730.0,2302878.0,3.9586715486565933,0.314,0.647,0.039
Brazil,8515767.0,211296996.0,24.812444492668718,0.217,0.6970000000000001,0.086
Brunei,5765.0,421300.0,73.0789245446661,0.23,0.7240000000000001,0.046
